temporizzazioni DGmtB03P

p1G#1:  00:00.851 - 00:06.597
p2F#2:  00:06.565 - 00:07.134
p1G#3:  00:06.994 - 00:08.259
p2F#4:  00:07.449 - 00:09.457
p1G#5:  00:08.755 - 00:10.491
p2F#6:  00:10.045 - 00:11.367
p1G#7:  00:11.624 - 00:13.252
p2F#8:  00:13.854 - 00:17.143
p1G#9:  00:17.476 - 00:19.939
p2F#10:  00:19.848 - 00:21.145
p1G#11:  00:20.740 - 00:22.558
p2F#12:  00:21.842 - 00:23.727
p1G#13:  00:22.661 - 00:24.058
p2F#14:  00:24.146 - 00:29.654
p1G#15:  00:27.339 - 00:40.665
p2F#16:  00:35.534 - 00:42.045
p1G#17:  00:41.948 - 00:43.857
p2F#18:  00:44.510 - 00:49.901
p1G#19:  00:49.554 - 00:51.075
p2F#20:  00:50.703 - 00:54.871
p1G#21:  00:53.572 - 00:55.225
p2F#22:  00:54.820 - 01:03.194
p1G#23:  00:56.048 - 01:04.279
p2F#24:  01:05.022 - 01:10.318
p1G#25:  01:05.804 - 01:13.849
p2F#26:  01:11:577 - 01:16.047
p1G#27:  01:15.725 - 01:17.781
p2F#28:  01:17.376 - 01:18.781
p1G#29:  01:18.465 - 01:20.886
p2F#30:  01:20.166 - 01:23.736
p1G#31:  01:23.524 - 01:29.697
p2F#32:  01:29.862 - 01:30.565
p1G#33:  01:31.028 - 01:33.500
p2F#34:  01:32.462 - 01:35.892
p1G#35:  01:34.109 - 01:43.197
p2F#36:  01:42.011 - 01:50.276
p1G#37:  01:46.259 - 01:51.337
p2F#38:  01:05.758 - 01:52.948
p1G#39:  01:52.579 - 01:53.257
p2F#40:  01:53.632 - 01:57.257
p1G#41:  01:56.815 - 02:01.738
p2F#42:  02:02.214 - 02:03.271
p1G#43:  02:02.726 - 02:06.072
p2F#44:  02:05.936 - 02:08.374
p1G#45:  02:07.415 - 02:08.734
p2F#46:  02:09.772 - 02:20.583
p1G#47:  02:13.199 - 02:22.114
p2F#48:  02:21.105 - 02.22.494
p1G#49:  02:22.218 - 02:25.535
p2F#50:  02:24.798 - 02:30.272
p1G#51:  02:26.016 - 02:33.759
p2F#52:  02:33.081 - 02:35.436
p1G#53:  02:35.901 - 02:43.381
p2F#54:  02:44.584 - 02:48.080
p1G#55:  02:46.807 - 02:48.487
p2F#56:  02:48.265 - 02:49.389
p1G#57:  02:48.414 - 02:49.736
p2F#58:  02:49.538 - 02:51.300
p1G#59:  02:50.275 - 02:53.054
p2F#60:  02:52.075 - 02:55.856
p1G#61:  02:55.330 - 03:07.191
p2F#62:  03:07.710 - 03:10.181
p1G#63:  03:09:817 - 03:15.195
p2F#64:  03:11.459 - 03:15.503
p1G#65:  03:15.548 - 03:16.898
p2F#66:  03:17.509 - 03:36.983
p1F#67:  03:35.793 - 03:38.116
p2G#68:  03:37.868 - 03:44.781
p1F#69:  03:44.703 - 03:45.604
p2G#70:  03:45.157 - 03:50.283
p1F#71:  03:50.358 - 03:51.028
p2G#72:  03:50.805 - 03:57.223
p1F#73:  03:54.456 - 03:59.140
p2G#74:  03:57.918 - 03:59.943
p1F#75:  03:59.604 - 04:02.936
p2G#76:  04:02.614 - 04:05.452
p1F#77:  04:05.072 - 04:06.121
p2G#78:  04:05.904 - 04:06.524
p1F#79:  04:06.871 - 04:07.367
p2G#80:  04:06.871 - 04:15.521
p1F#81:  04:09.779 - 04:17.971
p2G#82:  04:16.960 - 04:19.922
p1F#83:  04:19.906 - 04:21.187
p2G#84:  04:21.311 - 04:22.691
p1F#85:  04:21.997 - 04:23.080
p2G#86:  04:23.267 - 04:29.029
p1F#87:  04:28.469 - 04:30.793
p2G#88:  04:30.619 - 04:36.225
p1F#89:  04:36.467 - 04:39.517
p2G#90:  04:39.761 - 04:40.414
p1F#91:  04:40.358 - 04:42.862
p2G#92:  04:41.281 - 04:46.087
p1F#93:  04:43.566 - 04:48.985
p2G#94:  04:46.919 - 04:59.786
p1F#95:  04:52.525 - 05:00.033
p2G#96:  04:59.923 - 05:04.426
p1F#97:  05:01.806 - 05:05.420
