temporizzazioni DGtdB03P

p1#1:  00:00.545 - 00:03.992
p2#2:  00:03.491 - 00:04.168
p1#3:  00:04.232 - 00:08.951
p2#4:  00:05.546 - 00:10.348
p1#5:  00:09.641 - 00:11.319
p2#6:  00:10.447 - 00:11.810
p1#7:  00:11.387 - 00:14.759
p2#8:  00:14.948 - 00:17.149
p1#9:  00:16.478 - 00:18.841
p2#10:  00:17.742 - 00:18.759
p1#11:  00:18.749 - 00:20.262
p2#12:  00:20.047 - 00:20.650
p1#13:  00:20.857 - 00:25.051
p2#14:  00:24.332 - 00:24.902
p1#15:  00:25.059 - 00:25.555
p2#16:  00:25.939 - 00:26.749
p1#17:  00:26.633 - 00:27.352
p2#18:  00:26.626 - 00:30.758
p1#19:  00:30.654 - 00:31.199
p2#20:  00:31.042 - 00:32.802
p1#21:  00:32.331 - 00:35.512
p2#22:  00:33.472 - 00:37.484
p1#23:  00:37.063 - 00:38.352
p2#24:  00:37.649 - 00:41.450
p1#25:  00:40.052 - 00:43.342
p2#26:  00:41.641 - 00:45.702
p1#27:  00:45.445 - 00:46.834
p2#28:  00:46.439 - 00:49.257
p1#29:  00:47.546 - 00:51.429
p2#30:  00:52.133 - 00:54.100
p1#31:  00:52.439 - 00:54.745
p2#32:  00:54.334 - 00:55.590
p1#33:  00:54.938 - 00:56.764
p2#34:  00:56.932 - 01:00.254
p1#35:  00:59.722 - 01:02.358
p2#36:  01:01.540 - 01:02.656
p1#37:  01:02.501 - 01:09.353
p2#38:  01:09.340 - 01:09.951
p1#39:  01:09.731 - 01:14.386
p2#40:  01:14.744 - 01:17.573
p1#41:  01:15.341 - 01:17.796
p2#42:  01:17.507 - 01:19.188
p1#43:  01:18.762 - 01:23.770
p2#44:  01:25.951 - 01:29.301
p1#45:  01:26.230 - 01:28.950
p2#46:  01:29.740 - 01:33.663
p1#47:  01:29.408 - 01:36.092
p2#48:  01:36.067 - 01:37.753
p1#49:  01:37.326 - 01:39.392
p2#50:  01:39.250 - 01:44.793
p1#51:  01:40.238 - 01:49.204
p2#52:  01:46.699 - 01:49.753
p1#53:  01:50.000 - 02:00.365
p2#54:  01:54.302 - 02:02.093
p1#55:  02:02.330 - 02:05.652
p2#56:  02:04.925 - 02:07.460
