Temporizzazioni DGtdB04R

p2#1:  00:04.236 - 00:12.938
p1#2:  00:12.245 - 00:13.477
p2#3:  00:13.371 - 00:14.700
p1#4:  00:14.042 - 00:14.976
p2#5:  00:14.885 - 00:17.963
p1#6:  00:15.490 - 00:20.864
p2#7:  00:18.467 - 00:22.226
p1#8:  00:22.352 - 00:24.421
p2#9:  00:23.866 - 00:24.926
p1#10:  00:24.916 - 00:27.061
p2#11:  00:27.540 - 00:39.523
p1#12:  00:31.542 - 00:44.055
p2#13:  00:43.301 - 00:47.086
p1#14:  00:45.824 - 00:50.239
p2#15:  00:50.012 - 00:51.728
p1#16:  00:51.753 - 00:52.283
p2#17:  00:52.308 - 00:53.897
p1#18:  00:53.718 - 00:54.172
p2#19:  00:54.405 - 00:59.274
p1#20:  00:58.316 - 00:59.577
p2#21:  00:59.627 - 01:07.171
p1#22:  01:07.262 - 01:09.180
p2#23:  01:08.937 - 01:18.372
p1#24:  01:18.397 - 01:21.248
p2#25:  01:21.422 - 01:23.818
p1#26:  01:23.818 - 01:24.499
p2#27:  01:24.990 - 01:28.006
p1#28:  01:27.480 - 01:27.984
p2#29:  01:28.553 - 01:33.062
p1#30:  01:33.135 - 01:34.638
p2#31:  01:33.447 - 01:36.801
p1#32:  01:36.710 - 01:37.186
p2#33:  01:37.523 - 01:44.836
p1#34:  01:46.791 - 01:50.823
p2#35:  01:47.546 - 01:53.193
p1#36:  01:52.863 - 01:55.520
p2#37:  01:54.961 - 01:57.198
p1#38:  01:56.300 - 01:57.638
p2#39:  01:57.202 - 02:05.840
p1#40:  02:01.702 - 02:07.708
p2#41:  02:06.425 - 02:09.394
p1#42:  02:08.514 - 02:10.365
p2#43:  02:09.852 - 02:11.208
p1#44:  02:10.402 - 02:11.208
p2#45:  02:11.898 - 02:14.336
p1#46:  02:14.444 - 02:14.847
p2#47:  02:15.488 - 02:18.000
p1#48:  02:18.277 - 02:19.688
p2#49:  02:19.652 - 02:21.338
p1#50:  02:20.990 - 02:23.318
p2#51:  02:23.263 - 02:25.297
p1#52:  02:24.784 - 02:25.443
p2#53:  02:25.718 - 02:28.669
p1#54:  02:27.955 - 02:33.398
p2#55:  02:32.262 - 02:34.040
p1#56:  02:33.893 - 02:34.663
p2#57:  02:34.801 - 02:35.772
p1#58:  02:35.717 - 02:38.668
p2#59:  02:36.259 - 02:39.562
p1#60:  02:39.548 - 02:42.462
p2#61:  02:40.355 - 02:47.063
p1#62:  02:47.476 - 02:49.144
p2#63:  02:49.052 - 02:49.712
p1#64:  02:50.280 - 02:51.288
p2#65:  02:50.573 - 02:54.331
p1#66:  02:54.438 - 02:55.261
p2#67:  02:55.023 - 02:58.389
p1#68:  02:58.307 - 02:59.748
p2#69:  02:59.377 - 03:03.123
p1#70:  03:00.849 - 03:03.633
p2#71:  03:03.987 - 03:12.055
p1#72:  03:12.210 - 03:15.749
p2#73:  03:13.774 - 03:16.408
p1#74:  03:17.643 - 03:19.825
p2#75:  03:19.043 - 03:26.694
p1#76:  03:25.665 - 03:28.299
p2#77:  03:28.880 - 03:29.960
p1#78:  03:30.008 - 03:31.901
p2#79:  03:31.382 - 03:32.794
p1#80:  03:32.662 - 03:33.198
p2#81:  03:33.427 - 03:40.863
p1#82:  03:40.810 - 03:41.447
p2#83:  03:41.441 - 03:42.784
p1#84:  03:41.893 - 03:42.786
p2#85:  03:42.977 - 03:46.833
p1#86:  03:46.960 - 03:50.593
p2#87:  03:50.466 - 03:53.652
p1#88:  03:52.451 - 03:53.589
p2#89:  03:53.780 - 03:56.775
p1#90:  03:56.520 - 03:57.604
p2#91:  03:57.162 - 03:59.329
p1#92:  03:59.680 - 04:00.604
p2#93:  04:00.699 - 04:01.942
p1#94:  04:02.014 - 04:06.316
p2#95:  04:06.380 - 04:08.260
p1#96:  04:06.730 - 04:10.331
p2#97:  04:10.363 - 04:11.542
p1#98:  04:10.682 - 04:15.303
p2#99:  04:13.391 - 04:15.526
p1#100:  04:15.558 - 04:16.004
p2#101:  04:16.008 - 04:21.808
p1#102:  04:21.081 - 04:22.618
p2#103:  04:22.541 - 04:24.644
p1#104:  04:24.880 - 04:31.158
p2#105:  04:29.118 - 04:35.587
p1#106:  04:34.663 - 04:36.097
p2#107:  04:35.906 - 04:43.427
p1#108:  04:38.026 - 04:43.786
p2#109:  04:44.259 - 04:47.032
p1#110:  04:46.841 - 04:58.317
p2#111:  04:58.250 - 04:59.174
p1#112:  04:59.134 - 05:01.237
p2#113:  05:01.811 - 05:04.520
p1#114:  05:02.162 - 05:07.101
p2#115:  05:07.412 - 05:08.400
p1#116:  05:08.516 - 05:16.833
p2#117:  05:13.646 - 05:18.235
p1#118:  05:17.917 - 05:21.613
p2#119:  05:21.263 - 05:23.493
p1#120:  05:22.645 - 05:30.134
p2#121:  05:28.959 - 05:36.480
p1#122:  05:35.715 - 05:37.149
p2#123:  05:37.022 - 05:37.436
p1#124:  05:37.627 - 05:39.603
p2#125:  05:38.320 - 05:40.742
p1#126:  05:39.786 - 05:41.188
p2#127:  05:40.997 - 05:47.243
p1#128:  05:45.853 - 05:47.733
p2#129:  05:47.638 - 05:49.773
p1#130:  05:47.956 - 05:52.163
p2#131:  05:50.394 - 05:56.003
p1#132:  05:56.099 - 05:57.214
p2#133:  05:57.923 - 05:58.624
p1#134:  05:58.827 - 05:59.401
p2#135:  05:59.222 - 06:01.301
p1#136:  06:01.588 - 06:08.077
p2#137:  06:09.615 - 06:11.407
p1#138:  06:10.726 - 06:11.837
p2#139:  06:11.479 - 06:13.200
p1#140:  06:15.929 - 06:25.250
p2#141:  06:22.351 - 06:41.577
p1#142:  06:42.222 - 06:43.584
p2#143:  06:43.289 - 06:43.898
p1#144:  06:44.902 - 06:46.551
p2#145:  06:46.147 - 06:47.464
p1#146:  06:47.365 - 06:48.951
p1#147:  06:48.851 - 06:49.123
p1#148:  06:49.282 - 06:50.349
p2#149:  06:50.053 - 06:54.936
p1#150:  06:54.954 - 06:55.400
p2#151:  06:55.683 - 07:04.791
p1#152:  06:59.459 - 07:07.768
p2#153:  07:07.502 - 07:08.257
p1#154:  07:08.079 - 07:08.746
p2#155:  07:08.479 - 07:10.967
p1#156:  07:11.079 - 07:11.834
p2#157:  07:12.145 - 07:15.655
p1#158:  07:14.855 - 07:15.922
p2#159:  07:16.000 - 07:19.021
p1#160:  07:19.021 - 07:20.354
p2#161:  07:19.776 - 07:22.176
p1#162:  07:21.598 - 07:22.309
p2#163:  07:22.398 - 07:24.531
p1#164:  07:24.086 - 07:24.842
p2#165:  07:24.797 - 07:26.530
p1#166:  07:27.030 - 07:30.185
p2#167:  07:30.051 - 07:40.976
p1#168:  07:41.082 - 07:42.548
p2#169:  07:42.060 - 07:45.303
p1#170:  07:44.725 - 07:47.436
p2#171:  07:45.440 - 07:53.203
p1#172:  07:51.400 - 07:54.119
p2#173:  07:54.693 - 08:02.001
p1#174:  07:54.922 - 08:07.844
p2#175:  08:07.514 - 08:08.279
p1#176:  08:08.704 - 08:12.443
p2#177:  08:13.633 - 08:16.607
p1#178:  08:14.908 - 08:19.582
p2#179:  08:17.627 - 08:21.961
p1#180:  08:21.536 - 08:26.550
p2#181:  08:22.046 - 08:27.655
p1#182:  08:27.498 - 08:31.233
p2#183:  08:31.572 - 08:33.355
p1#184:  08:32.506 - 08:33.779
p2#185:  08:33.524 - 08:38.362
p1#186:  08:37.004 - 08:43.625
p2#187:  08:40.315 - 08:44.389
p1#188:  08:44.129 - 08:45.572
p2#189:  08:45.063 - 08:50.071
p1#190:  08:46.421 - 08:49.731
p2#191:  08:51.004 - 08:54.654
p1#192:  08:53.214 - 08:59.410
p2#193:  08:59.325 - 09:00.004
p1#194:  08:59.920 - 09:12.227
p2#195:  09:10.869 - 09:15.707
p1#196:  09:12.482 - 09:16.131
p2#197:  09:16.556 - 09:17.829
p1#198:  09:17.999 - 09:23.176
p2#199:  09:22.943 - 09:25.405
p1#200:  09:26.593 - 09:27.527
p2#201:  09:26.508 - 09:27.357
p1#202:  09:26.763 - 09:31.601
p2#203:  09:28.715 - 09:30.582
p1#204:  09:32.025 - 09:35.166
p2#205:  09:34.571 - 09:40.258
p1#206:  09:37.935 - 09:40.824
p2#207:  09:40.654 - 09:42.184
p1#208:  09:40.994 - 09:45.668
p2#209:  09:45.923 - 09:48.897
p1#210:  09:48.472 - 09:50.342
p2#211:  09:49.322 - 09:51.616
p1#212:  09:50.597 - 09:54.166
p2#213:  09:53.730 - 09:55.515
p1#214:  09:54.750 - 09:56.365
p2#215:  09:55.770 - 09:58.489
p1#216:  09:56.635 - 10:04.863
p1#217:  10:04.494 - 10:07.679
p2#218:  10:07.366 - 10:07.780
p1#219:  10:07.685 - 10:15.244
p2#220:  10:14.859 - 10:15.964
p1#221:  10:15.624 - 10:17.493
p2#222:  10:16.134 - 10:17.833
p1#223:  10:18.258 - 10:22.422
p2#224:  10:19.970 - 10:25.395
p1#225:  10:23.612 - 10:26.501
p2#226:  10:26.076 - 10:30.155
p1#227:  10:26.841 - 10:30.835
p2#228:  10:30.495 - 10:32.960
p1#229:  10:32.535 - 10:36.614
p2#230:  10:34.489 - 10:39.078
p1#231:  10:39.928 - 10:48.256
p2#232:  10:43.582 - 10:52.845
p2#233:  10:52.506 - 10:53.780
p1#234:  10:53.440 - 10:57.010
p2#235:  10:56.705 - 10:59.608
p1#236:  10:57.471 - 11:01.204
p2#237:  11:01.012 - 11:02.576
p1#238:  11:01.491 - 11:03.501
p2#239:  11:03.278 - 11:07.298
p1#240:  11:03.908 - 11:08.311
p2#241:  11:08.243 - 11:10.923
p1#242:  11:09.934 - 11:11.561
p2#243:  11:11.115 - 11:20.164
p1#244:  11:20.292 - 11:20.770
p2#245:  11:20.420 - 11:23.865
p1#246:  11:23.897 - 11:24.727
p2#247:  11:24.843 - 11:28.544
p1#248:  11:28.476 - 11:31.028
p2#249:  11:29.178 - 11:33.007
p1#250:  11:32.815 - 11:34.442
p2#251:  11:34.032 - 11:39.871
p1#252:  11:35.851 - 11:41.911
p2#253:  11:40.445 - 11:44.401
p1#254:  11:44.318 - 11:49.167
p2#255:  11:47.871 - 11:49.530
p1#256:  11:49.562 - 11:50.073
p2#257:  11:50.902 - 11:51.381
p1#258:  11:51.796 - 11:58.001
p2#259:  11:58.045 - 11:58.523
p1#260:  11:58.779 - 11:59.896
p2#261:  11:59.832 - 11:00.343
p1#262:  12:00.087 - 12:01.044
p2#263:  12:01.001 - 12:01.671
p1#264:  12:01.511 - 12:02.373
p2#265:  12:02.309 - 12:06.680
p1#266:  12:06.509 - 12:07.434
p2#267:  12:06.891 - 12:08.391
p1#268:  12:08.678 - 12:09.827
p2#269:  12:09.571 - 12:09.954
p1#270:  12:10.162 - 12:20.946
p2#271:  12:21.609 - 12:23.044
p1#272:  12:22.789 - 12:24.321
p2#273:  12:13.714 - 12:28.500
p1#274:  12:28.660 - 12:30.064
p2#275:  12:29.074 - 12:31.691
p1#276:  12:30.606 - 12:32.520
p2#277:  12:32.685 - 12:33.868
p1#278:  12:33.868 - 12:36.945
p2#279:  12:36.165 - 12:40.527
p1#280:  12:39.548 - 12:43.177
p2#281:  12:42.941 - 12:48.226
p1#282:  12:47.753 - 12:49.015
p2#283:  12:49.883 - 12:56.037
p1#284:  12:54.064 - 12:57.378
p2#285:  12:56.431 - 13:04.872
p1#286:  13:02.032 - 13:05.898
p2#287:  13:05.267 - 13:09.606
p1#288:  13:10.000 - 13:14.418
